Job Title,Company,Location
Accountant,Accountant,Kupandol
Business Development Officer,Business Development Officer,"Buddhanagar, Kathmandu"
Sales Executive,Sales Executive,"UnPark, Lalitpur"
Secondary Level Science Teacher,Secondary Level Science Teacher,"Bhaluwahi, Dudhauli-2, Sindhuli"
Secondary Level Mathematics Teacher,Secondary Level Mathematics Teacher,"Bhaluwahi, Dudhauli-2, Sindhuli"
Middle School English Teacher,Middle School English Teacher,"Bhaluwahi, Dudhauli-2, Sindhuli"
Digital Marketing Specialist,Digital Marketing Specialist,"Syuchatar Bridge, Kalanki, Kathmandu"
HR / Marketing Executive,HR / Marketing Executive,"Syuchatar Bridge, Kalanki, Kathmandu"
Secondary / Lower Secondary Level Teachers,Secondary / Lower Secondary Level Teachers,"Syuchatar Bridge, Kalanki, Kathmandu"
Academic / Secondary Level In-Charge,Academic / Secondary Level In-Charge,"Syuchatar Bridge, Kalanki, Kathmandu"
Administrative Officer / Executive Assistant,Administrative Officer / Executive Assistant,"Syuchatar Bridge, Kalanki, Kathmandu"
Civil Engineer,Civil Engineer,"Gopi Krishna Nagar,Chabahil-7,kathmandu"
Admin Officer,Admin Officer,"Trade Tower, Thapathali, Kathmandu"
Finance Junior Officer,Finance Junior Officer,Kathmandu
E-commerce Associate,E-commerce Associate,"Head Office, Mid-Baneshwor, Kathmandu"
Pre-School Teacher,Pre-School Teacher,"Tinkune, Kathmandu"
Legal Associate,Legal Associate,"2rd Floor, Radhakuti Arcade, Putalisadak, Kathmandu"
Sr. Executive Credit Control,Sr. Executive Credit Control,"Tripureshwor, Kathmandu"
Mathematics Teacher - Secondary Level,Mathematics Teacher - Secondary Level,"Mitrapark, Chabahil, Kathmandu"
Pre-School Teacher - UKG,Pre-School Teacher - UKG,"Mid baneshwor, Kathmandu"
Sales Assistant,Sales Assistant,"Jana Marg, Kathmandu"
Junior Marketing Executive,Junior Marketing Executive,"Thapathali, Kathmandu"
IT Manager,IT Manager,"Ravibhawan (Near Machha Gate), Kathmandu"
Chat Analyst,Chat Analyst,"New Baneshwor, Kathmandu"
Sr. Student Counselor - Study Abroad,Sr. Student Counselor - Study Abroad,"Uttardhoka, Kathmandu"
Social Media Manager,Social Media Manager,"Kamalpokhari Street, Kathmandu"
Customer Support and Marketing Executive,Customer Support and Marketing Executive,"Gyaneshwor, Kathmandu"
Content Creator,Content Creator,"Budhanilkantha, Kathmandu"
Digital Marketing and SEO Executive,Digital Marketing and SEO Executive,Work from Home
Computer Teacher,Computer Teacher,"Samakhusi Chowk, Tokha – 10, Kathmandu"
News Content Writer,News Content Writer,Jwalakhel
Graphic Designer,Graphic Designer,"Sorakhutte, Kathmandu"
Computer Science Teacher (Primary Level),Computer Science Teacher (Primary Level),"Sangam Chowk, New Baneshwor, Kathmandu"
Primary Level Grade Teacher,Primary Level Grade Teacher,"Sangam Chowk, New Baneshwor, Kathmandu"
Primary English Teacher,Primary English Teacher,"Pandubazar Height, Suryabinayak - 6, Bhaktapur"
Dealer Sales Officer – Sales and Marketing,Dealer Sales Officer – Sales and Marketing,"Thapathali, Kathmandu"
Teacher,Teacher,"Dhapasi, Kathmandu"
ECA Incharge,ECA Incharge,"Dhapasi, Kathmandu"
Account Officer,Account Officer,Kathmandu
Jr. Officer/Officer – Account and Admin,Jr. Officer/Officer – Account and Admin,"Tripureshwor, Kathmandu"
Civil Engineer / Project Incharge,Civil Engineer / Project Incharge,"Balaju, Kathmandu"
Project Officer,Project Officer,Kathmandu
News Anchor,News Anchor,Kathmandu
Office Manager,Office Manager,Kathmandu
Corporate Office Admin,Corporate Office Admin,"Dhumbarai, Kathmandu"
Accountant,Accountant,"Surkhet Road, Nepalgunj-2"
Graphic Designer,Graphic Designer,Maitidevi
Project Engineer,Project Engineer,"Kathmandu, Pokhara and Chitwan"
Content Creator,Content Creator,"Naya Baneshwor, Kathmandu"
IT Officer,IT Officer,"Lazimpat, Kathmandu"
Accounts and Admin Officer,Accounts and Admin Officer,"Kuleshwor, Kathmandu"
English Language Mentor,English Language Mentor,"Koteshwor (North east to Balkumari Bridge), Kathmandu"
Personal Assistant,Personal Assistant,"Thapathali, Kathmandu"
